id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2_2,url + code
recXXxJhcKzAh3877,J_5056_SILK_3050; 4200_28,5056,SILK,MARMUR ALESUND,https://qr-codes-page.vercel.app/product/recXXxJhcKzAh3877,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/recXXxJhcKzAh3877, J_5056_SILK_3050; 4200_28"
recjh3wfY8XuLijz1,J_5094_STONE_3050; 4200_28,5094,STONE,SKYFALL,https://qr-codes-page.vercel.app/product/recjh3wfY8XuLijz1,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/recjh3wfY8XuLijz1, J_5094_STONE_3050; 4200_28"
rec7te9AZNlSBYH7e,J_5111_STONE_3050; 4200_28,5111,STONE,SUPERNATURAL,https://qr-codes-page.vercel.app/product/rec7te9AZNlSBYH7e,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 77,44","PLN 163,16","PLN 169,13","PLN 175,11","PLN 192,57","PLN 134,11","PLN 165,85","PLN 172,02","PLN 178,18","PLN 170,36","https://qr-codes-page.vercel.app/product/rec7te9AZNlSBYH7e, J_5111_STONE_3050; 4200_28"
recfWyrhb7XllTcDD,J_9999_MG_3050; 4200_28,9999,MG,ALHAMBRA,https://qr-codes-page.vercel.app/product/recfWyrhb7XllTcDD,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recfWyrhb7XllTcDD, J_9999_MG_3050; 4200_28"
rec9cHlNMB0dulEI3,J_1049_QUARY_3050; 4200_28,1049,QUARY,CZARNY KAMIEŃ,https://qr-codes-page.vercel.app/product/rec9cHlNMB0dulEI3,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/rec9cHlNMB0dulEI3, J_1049_QUARY_3050; 4200_28"
reca5ImDS51Q14M1i,J_3303_ST10_3050; 4200_28,3303,ST10,DĄB ARLINGTON,https://qr-codes-page.vercel.app/product/reca5ImDS51Q14M1i,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/reca5ImDS51Q14M1i, J_3303_ST10_3050; 4200_28"
recMgPvOptxICNb7M,J_1318_ST19_3050; 4200_28,1318,ST19,DĄB ARTISAN,https://qr-codes-page.vercel.app/product/recMgPvOptxICNb7M,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recMgPvOptxICNb7M, J_1318_ST19_3050; 4200_28"
recwFEkz50CvNItb7,J_6156_WO_3050; 4200_28,6156,WO,DĄB CANYON,https://qr-codes-page.vercel.app/product/recwFEkz50CvNItb7,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recwFEkz50CvNItb7, J_6156_WO_3050; 4200_28"
recQfBccwnvc0pjfW,J_K003N_PR_3050; 4200_28,K003N,PR,DĄB CRAFT,https://qr-codes-page.vercel.app/product/recQfBccwnvc0pjfW,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recQfBccwnvc0pjfW, J_K003N_PR_3050; 4200_28"
recuUABdSTpOmi6VO,J_2032_ST10_3050; 4200_28,2032,ST10,DĄB HUNTON,https://qr-codes-page.vercel.app/product/recuUABdSTpOmi6VO,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recuUABdSTpOmi6VO, J_2032_ST10_3050; 4200_28"
